"x","title","job.seniority","rating","company","competitor","job.state","headquarters","same.state","size","founded","type.of.ownership","industry","sector","revenue","min.salary","max.salary","avg.salary","age","python","r","spark","aws","excel"
18,"D-sci","No Desc","Satisfied","Nuna",0,"CA","CA",1,"small",2010,"Private","Enterprise Software & Network Solutions","Information Technology","medium-bus",110,175,142.5,30,0,0,0,0,0
19,"D-sci","No Desc","Satisfied","Pinnacol Assurance",0,"CO","CO",1,"medium",1915,"Nonprofit Organization","Insurance Carriers","Insurance","large-bus",64,111,87.5,52,1,0,0,0,1
20,"D-sci","No Desc","Neutral","Porch",3,"WA","WA",1,"medium",2012,"Private","Internet","Information Technology","large-bus",81,130,105.5,30,1,0,1,0,0
21,"D-sci","Senior Prof","Satisfied","Health IQ",0,"TX","CA",0,"medium",2013,"Private","Insurance Agencies & Brokerages","Insurance","large-bus",73,119,96,30,0,0,0,0,1
22,"D-sci","No Desc","Satisfied","Truckstop.com",0,"IL","ID",0,"medium",1995,"Private","Logistics & Supply Chain","Transportation & Logistics","medium-bus",86,139,112.5,25,1,0,0,1,1
23,"D-sci","No Desc","Satisfied","SMC 3",0,"KY","GA",0,"small",1935,"Nonprofit Organization","Logistics & Supply Chain","Transportation & Logistics","medium-bus",63,105,84,52,1,0,0,0,1
24,"D-sci","No Desc","Satisfied","Novetta",3,"VA","VA",0,"medium",2012,"Private","Enterprise Software & Network Solutions","Information Technology","large-bus",109,177,143,30,1,0,0,1,0
25,"D-sci","No Desc","Satisfied","Pfizer",0,"MA","NY",0,"large",1849,"Public","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","large-bus",63,110,86.5,52,1,0,0,1,1
26,"D-sci","No Desc","Satisfied","First Tech Federal Credit Union",0,"OR","CA",0,"large",1952,"Private","Banks & Credit Unions","Finance","large-bus",75,124,99.5,68,1,0,1,1,1
27,"analyst","No Desc","Satisfied","The Hanover Insurance Group",0,"MA","MA",1,"large",1852,"Public","Insurance Carriers","Insurance","large-bus",34,61,47.5,52,0,0,0,0,1
28,"D-sci","No Desc","Satisfied","Pfizer",0,"CT","NY",0,"large",1849,"Public","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","large-bus",63,105,84,52,0,0,0,1,1
29,"D-sci","No Desc","Very Satisfied","KnowBe4",0,"FL","FL",1,"medium",2010,"Private","Security Services","Business Services","large-bus",80,90,85,30,1,0,1,0,1
30,"D-sci","No Desc","Satisfied","PNNL",3,"WA","WA",1,"large",1965,"Government","Energy","Oil, Gas, Energy & Utilities","large-bus",56,97,76.5,55,1,0,0,0,0
31,"D-sci","No Desc","Satisfied","Amrock",0,"MI","MI",1,"large",1997,"Private","Real Estate","Real Estate","large-bus",72,120,96,23,1,0,0,0,0
32,"D-sci","No Desc","Satisfied","Novartis",0,"MA","Switzerland",0,"large",1996,"Public","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","large-bus",86,143,114.5,24,1,0,0,0,0
33,"D-sci","No Desc","Satisfied","Juniper Networks",0,"CA","CA",1,"large",1996,"Public","Telecommunications Services","Telecommunications","large-bus",93,149,121,24,1,0,1,0,1
34,"D-sci","No Desc","Very Satisfied","New England Biolabs",3,"MA","MA",1,"medium",1974,"Private","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","large-bus",85,140,112.5,46,1,0,0,0,1
35,"analyst","No Desc","Satisfied","Clarity Insights",0,"CA","IL",0,"medium",2008,"Private","IT Services","Information Technology","large-bus",77,135,106,30,1,0,0,0,1
36,"D-sci","No Desc","Satisfied","Esri",1,"CA","CA",1,"large",1969,"Private","Computer Hardware & Software","Information Technology","large-bus",82,132,107,51,1,0,1,1,0
37,"D-sci","No Desc","Very Satisfied","Systems & Technology Research",0,"MA","MA",1,"medium",2010,"Private","Aerospace & Defense","Aerospace & Defense","large-bus",83,137,110,30,1,0,1,0,1
38,"D-sci","Senior Prof","Satisfied","Sartorius",0,"CA","Germany",0,"large",1870,"Public","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","large-bus",115,180,147.5,52,1,0,0,0,1
39,"D-eng","No Desc","Satisfied","Lancer Insurance",0,"NY","NY",1,"medium",1985,"Private","Insurance Carriers","Insurance","large-bus",74,138,106,35,1,0,0,0,1
40,"analyst","No Desc","Satisfied","Sauce Labs",3,"CA","CA",1,"medium",2008,"Private","IT Services","Information Technology","medium-bus",64,112,88,30,1,0,0,1,1
41,"D-eng","No Desc","Satisfied","Persivia",0,"MA","MA",0,"small",1992,"Private","Others","-1","micro-bus",68,129,98.5,30,0,0,0,0,1
42,"D-sci","No Desc","Satisfied","Nuna",0,"CA","CA",1,"small",2010,"Private","Enterprise Software & Network Solutions","Information Technology","small-bus",110,175,142.5,30,0,0,0,0,0
43,"na","No Desc","Neutral","Edgewell Personal Care",3,"NJ","CT",0,"large",2015,"Public","Consumer Products Manufacturing","Manufacturing","large-bus",52,113,82.5,30,0,0,0,1,0
44,"D-sci","Senior Prof","Satisfied","Equity Residential",3,"IL","IL",1,"large",1993,"Public","Real Estate","Real Estate","large-bus",110,150,130,27,1,0,1,0,1
45,"D-sci","No Desc","Very Satisfied","BPA Services",0,"DC","VA",0,"small",1992,"Private","Enterprise Software & Network Solutions","Information Technology","micro-bus",150,160,155,30,0,0,0,1,1
46,"D-sci","Senior Prof","Satisfied","Visa Inc.",3,"WA","CA",0,"large",1958,"Public","IT Services","Information Technology","large-bus",158,211,184.5,62,1,0,0,0,1
47,"analyst","No Desc","Neutral","Intrado",0,"CO","NE",0,"large",1986,"Private","Enterprise Software & Network Solutions","Information Technology","large-bus",20,39,29.5,34,0,0,0,0,1
48,"na","No Desc","Very Satisfied","Centauri",3,"OH","VA",0,"medium",1999,"Private","Aerospace & Defense","Aerospace & Defense","large-bus",56,117,86.5,21,0,0,0,0,0
49,"D-sci","No Desc","Satisfied","Caterpillar",3,"IL","IL",0,"large",1925,"Public","Industrial Manufacturing","Manufacturing","large-bus",63,99,81,52,0,0,0,0,0
50,"D-sci","No Desc","Satisfied","Zimmerman Advertising",0,"FL","FL",1,"medium",1984,"Subsidiary or Business Segment","Advertising & Marketing","Business Services","large-bus",68,114,91,36,1,0,0,0,1
51,"D-sci","No Desc","Neutral","Liberty Mutual Insurance",3,"MA","MA",1,"large",1912,"Private","Insurance Carriers","Insurance","large-bus",86,143,114.5,52,1,0,0,0,0
52,"analyst","No Desc","Very Satisfied","Torch Technologies, Inc.",0,"AL","AL",1,"large",2002,"Private","Aerospace & Defense","Aerospace & Defense","large-bus",41,95,68,18,1,0,0,0,1
53,"D-sci","No Desc","Satisfied","Swiss Re",3,"NY","Switzerland",0,"large",1863,"Public","Insurance Agencies & Brokerages","Insurance","large-bus",86,144,115,52,1,0,0,0,1
54,"D-sci","No Desc","Satisfied","Northrop Grumman",0,"CA","VA",0,"large",1939,"Public","Aerospace & Defense","Aerospace & Defense","large-bus",80,139,109.5,52,0,0,0,0,1
55,"D-sci","No Desc","Satisfied","Sartorius",0,"NM","Germany",0,"large",1870,"Public","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","large-bus",56,95,75.5,52,1,0,0,0,1
56,"D-sci","No Desc","Satisfied","Netskope",3,"CA","CA",0,"medium",2012,"Private","Enterprise Software & Network Solutions","Information Technology","large-bus",120,189,154.5,30,1,0,1,0,1
57,"D-sci","No Desc","Very Satisfied","1904labs",2,"MO","MO",1,"small",2016,"Private","IT Services","Information Technology","medium-bus",111,176,143.5,30,1,0,1,0,0
58,"D-sci","No Desc","Satisfied","ClearOne Advantage",0,"MD","MD",1,"medium",2008,"Private","Banks & Credit Unions","Finance","large-bus",54,93,73.5,30,0,0,0,0,1
59,"D-sci","No Desc","Neutral","CyrusOne",3,"TX","TX",1,"medium",2000,"Public","Real Estate","Real Estate","large-bus",71,119,95,20,1,0,0,1,1
60,"D-sci","Senior Prof","Satisfied","The David J. Joseph Company",0,"OH","OH",1,"medium",1885,"Subsidiary or Business Segment","Metals Brokers","Mining & Metals","large-bus",82,132,107,52,1,0,0,1,0
61,"D-sci","No Desc","Satisfied","USEReady",0,"NY","NY",1,"medium",2011,"Private","Consulting","Business Services","medium-bus",84,146,115,30,1,0,1,1,0
62,"D-sci","Senior Prof","Satisfied","Bill.com",0,"CA","CA",1,"medium",2006,"Public","Financial Transaction Processing","Finance","medium-bus",107,172,139.5,30,0,0,0,0,0
63,"D-sci","No Desc","Satisfied","Pacific Northwest National Laboratory",3,"WA","WA",1,"large",1965,"Government","Energy","Oil, Gas, Energy & Utilities","large-bus",49,85,67,55,0,0,0,0,0
64,"D-sci","No Desc","Satisfied","DICK'S Sporting Goods - Corporate",3,"PA","PA",1,"large",1948,"Public","Sporting Goods Stores","Retail","large-bus",61,109,85,52,1,0,0,0,0
65,"D-sci","No Desc","Neutral","Berg Health",0,"MA","MA",1,"small",2006,"Private","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","small-bus",88,148,118,30,1,0,0,0,1
66,"D-sci","No Desc","Very Satisfied","Oversight Systems",0,"GA","GA",1,"small",2003,"Private","Computer Hardware & Software","Information Technology","medium-bus",60,99,79.5,30,1,0,0,0,1
67,"D-sci","Senior Prof","Neutral","C Space",4,"MA","MA",1,"medium",1999,"Public","Advertising & Marketing","Business Services","large-bus",41,72,56.5,21,1,0,0,0,0
68,"D-sci","No Desc","Neutral","Numeric, LLC",0,"PA","PA",0,"small",1992,"Private","Staffing & Outsourcing","Business Services","small-bus",96,161,128.5,30,1,0,1,1,0
69,"na","No Desc","Satisfied","HP Inc.",0,"WA","CA",0,"large",1939,"Public","Computer Hardware & Software","Information Technology","large-bus",65,130,97.5,52,0,0,0,0,0
70,"na","No Desc","Satisfied","SpringML",0,"IN","CA",0,"small",2015,"Private","Enterprise Software & Network Solutions","Information Technology","medium-bus",52,81,66.5,30,1,0,0,0,0
71,"director","No Desc","Satisfied","Grainger",0,"IL","IL",1,"large",1927,"Public","Wholesale","Business Services","large-bus",139,220,179.5,52,1,0,0,0,1
72,"na","No Desc","Neutral","EAG Laboratories",0,"MO","CA",0,"medium",1978,"Subsidiary or Business Segment","Research & Development","Business Services","medium-bus",50,102,76,42,0,0,0,0,1
73,"D-sci","Senior Prof","Satisfied","The Buffalo Group",3,"VA","VA",0,"medium",2010,"Private","IT Services","Information Technology","large-bus",85,139,112,30,1,0,1,0,0
74,"D-sci","No Desc","Neutral","Carmeuse",3,"PA","Belgium",0,"large",1860,"Private","Mining","Mining & Metals","large-bus",74,122,98,52,1,0,0,0,0
75,"D-sci","Senior Prof","Satisfied","HP Inc.",0,"WA","CA",0,"large",1939,"Public","Computer Hardware & Software","Information Technology","large-bus",99,157,128,52,0,0,1,1,0
76,"D-sci","No Desc","Satisfied","h2o.ai",0,"CA","CA",1,"medium",2011,"Private","Enterprise Software & Network Solutions","Information Technology","medium-bus",79,222,150.5,30,1,0,1,1,1
77,"R&D","Senior Prof","Dissatisfied","GNS Healthcare",0,"MA","MA",1,"small",2000,"Private","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","medium-bus",57,118,87.5,20,0,0,0,1,0
78,"D-sci","No Desc","Neutral","Peraton",0,"VA","VA",0,"large",2017,"Private","Aerospace & Defense","Aerospace & Defense","large-bus",83,137,110,30,1,0,0,0,1
79,"D-sci","No Desc","Satisfied","Pactera",3,"CA","China",0,"large",1995,"Private","IT Services","Information Technology","large-bus",86,141,113.5,25,1,0,0,0,1
80,"D-sci","No Desc","Satisfied","Nurx",0,"CA","CA",1,"small",2016,"Private","Health Care Services & Hospitals","Health Care","small-bus",94,154,124,30,1,0,0,0,0
81,"analyst","Junior Prof","Very Satisfied","webfx.com",0,"PA","PA",1,"medium",1997,"Private","Advertising & Marketing","Business Services","medium-bus",37,76,56.5,23,0,0,0,0,1
82,"D-sci","No Desc","Satisfied","Johns Hopkins University Applied Physics Laboratory",3,"MD","MD",1,"large",1942,"Nonprofit Organization","Aerospace & Defense","Aerospace & Defense","large-bus",100,160,130,52,1,0,0,0,1
83,"analyst","No Desc","Satisfied","Productive Edge",3,"IL","IL",1,"small",2008,"Private","Computer Hardware & Software","Information Technology","medium-bus",55,100,77.5,30,0,0,0,0,1
84,"D-eng","No Desc","Satisfied","Excella Consulting",0,"VA","VA",1,"medium",2002,"Private","Consulting","Business Services","medium-bus",60,114,87,18,1,0,0,1,1
85,"analyst","No Desc","Satisfied","Gensco",0,"WA","WA",1,"medium",1948,"Private","Wholesale","Business Services","large-bus",39,68,53.5,52,0,0,0,0,1
86,"D-sci","No Desc","Neutral","Walmart",3,"TX","AR",0,"large",1962,"Public","Department, Clothing, & Shoe Stores","Retail","large-bus",106,172,139,58,0,0,0,0,0
87,"D-sci","No Desc","Satisfied","Logic20/20",0,"CA","WA",0,"medium",2005,"Private","Consulting","Business Services","medium-bus",86,142,114,30,1,0,1,1,1
88,"D-sci","No Desc","Satisfied","goTRG",0,"FL","FL",1,"medium",2008,"Private","Enterprise Software & Network Solutions","Information Technology","large-bus",64,107,85.5,30,1,0,1,0,1
89,"na","No Desc","Satisfied","NMR Consulting",0,"AL","VA",0,"small",1996,"Private","IT Services","Information Technology","medium-bus",31,65,48,24,0,0,0,0,1
90,"analyst","No Desc","Satisfied","iSeatz",0,"LA","LA",1,"small",1999,"Private","Enterprise Software & Network Solutions","Information Technology","medium-bus",34,62,48,21,0,0,0,0,1
91,"na","Senior Prof","Satisfied","Nektar Therapeutics",3,"CA","CA",1,"medium",1990,"Public","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","large-bus",117,231,174,30,0,0,0,0,1
92,"D-sci","No Desc","Satisfied","TransUnion",0,"GA","IL",0,"large",1968,"Public","Financial Analytics & Research","Finance","large-bus",64,106,85,52,1,0,1,0,0
93,"na","No Desc","Very Satisfied","IT Concepts",0,"MD","VA",0,"small",2003,"Private","IT Services","Information Technology","medium-bus",79,134,106.5,30,0,0,0,0,0
94,"analyst","No Desc","Satisfied","Scientific Research Corporation",0,"MD","GA",0,"large",1988,"Private","IT Services","Information Technology","large-bus",52,93,72.5,32,0,0,0,0,1
95,"na","No Desc","Neutral","General Dynamics Information Technology",3,"MD","VA",0,"large",1996,"Subsidiary or Business Segment","IT Services","Information Technology","large-bus",55,116,85.5,24,0,0,0,0,0
96,"D-sci","No Desc","Neutral","MITRE",3,"VA","MA",0,"large",1958,"Nonprofit Organization","Federal Agencies","Government","large-bus",72,123,97.5,62,1,0,0,0,1
97,"D-sci","No Desc","Satisfied","The Buffalo Group",3,"VA","VA",0,"medium",2010,"Private","IT Services","Information Technology","large-bus",74,124,99,30,1,0,0,0,1
98,"analyst","No Desc","Neutral","DentaQuest",3,"WI","MA",0,"large",2001,"Private","Insurance Carriers","Insurance","large-bus",40,73,56.5,19,0,0,0,0,1
99,"D-sci","Senior Prof","Satisfied","Redjack",0,"MD","MD",1,"small",2007,"Private","IT Services","Information Technology","small-bus",102,164,133,30,1,0,0,0,0
100,"D-sci","No Desc","Satisfied","7Park Data",0,"NY","NY",1,"small",2012,"Private","Research & Development","Business Services","medium-bus",89,153,121,30,1,0,1,0,0
101,"D-sci","No Desc","Very Satisfied","Rapid Response Monitoring",3,"NY","NY",1,"medium",1992,"Private","Security Services","Business Services","large-bus",61,110,85.5,28,1,0,0,0,0
102,"D-sci","No Desc","Satisfied","Trilogy Ed",3,"TX","NY",0,"large",2015,"Subsidiary or Business Segment","Education Training Services","Education","large-bus",65,110,87.5,30,1,0,0,0,0
103,"D-sci","Senior Prof","Satisfied","Gallup",3,"DC","DC",1,"large",1935,"Private","Consulting","Business Services","large-bus",200,275,237.5,52,1,0,0,0,1
104,"D-eng","No Desc","Satisfied","CapTech",3,"NC","VA",0,"large",1997,"Private","IT Services","Information Technology","large-bus",68,123,95.5,23,1,0,1,0,0
105,"D-sci","Senior Prof","Neutral","American Axle & Manufacturing",0,"MI","MI",0,"large",1994,"Public","Transportation Equipment Manufacturing","Manufacturing","large-bus",80,129,104.5,26,1,0,1,1,1
106,"analyst","No Desc","Very Satisfied","CentralReach",3,"NJ","FL",0,"medium",2012,"Private","Computer Hardware & Software","Information Technology","large-bus",41,72,56.5,30,0,0,0,0,1
107,"analyst","Senior Prof","Satisfied","Integrate",0,"AZ","AZ",1,"medium",2010,"Private","Enterprise Software & Network Solutions","Information Technology","medium-bus",39,71,55,30,0,0,0,0,1
108,"R&D","Senior Prof","Neutral","Boys Town Hospital",3,"NE","NE",1,"large",1977,"Hospital","Health Care Services & Hospitals","Health Care","large-bus",38,85,61.5,43,0,0,0,0,1
109,"D-sci","No Desc","Satisfied","Demandbase",3,"CA","CA",1,"medium",2006,"Private","Computer Hardware & Software","Information Technology","large-bus",121,193,157,30,0,0,1,1,0
110,"D-eng","No Desc","Neutral","Sapphire Digital",2,"NJ","NJ",1,"medium",2019,"Private","Internet","Information Technology","large-bus",54,102,78,30,1,0,0,0,0
111,"D-sci","No Desc","Satisfied","Takeda Pharmaceuticals",3,"MA","Japan",0,"large",1781,"Public","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","large-bus",83,144,113.5,52,1,0,1,0,0
112,"D-sci","No Desc","Very Satisfied","<intent>",2,"NY","NY",1,"small",2009,"Private","Internet","Information Technology","large-bus",120,160,140,30,1,0,1,0,0
113,"D-sci","No Desc","Neutral","Formation",0,"CA","CA",1,"small",2015,"Private","Enterprise Software & Network Solutions","Information Technology","medium-bus",102,163,132.5,30,0,0,1,0,1
114,"D-eng","No Desc","Satisfied","Autodesk",0,"CA","CA",0,"large",1982,"Public","Computer Hardware & Software","Information Technology","large-bus",76,140,108,38,1,0,1,0,0
115,"D-sci","No Desc","Very Satisfied","Beck's Hybrids",0,"IN","IN",1,"medium",1937,"Private","Farm Support Services","Agriculture & Forestry","medium-bus",60,101,80.5,52,0,0,0,0,0
116,"D-sci","No Desc","Neutral","DrFirst",0,"MD","MD",1,"medium",2000,"Private","Health Care Services & Hospitals","Health Care","medium-bus",82,133,107.5,20,1,0,0,0,0
117,"D-eng","No Desc","Very Satisfied","Object Partners",2,"MN","MN",1,"small",1996,"Private","Consulting","Business Services","medium-bus",65,125,95,24,0,0,1,1,0
118,"D-sci","No Desc","Neutral","L.A. Care Health Plan",3,"CA","CA",1,"large",1997,"Nonprofit Organization","Health Care Services & Hospitals","Health Care","large-bus",91,148,119.5,23,1,0,1,0,0
119,"D-eng","Senior Prof","Neutral","Red Ventures",3,"NC","SC",0,"large",2000,"Private","Advertising & Marketing","Business Services","large-bus",95,173,134,20,0,0,1,1,0
120,"D-sci","No Desc","Satisfied","Quick Base",0,"MA","MA",1,"medium",1999,"Private","Enterprise Software & Network Solutions","Information Technology","large-bus",77,124,100.5,21,1,0,0,0,1
121,"D-sci","No Desc","Satisfied","The E.W. Scripps Company",0,"OH","OH",1,"large",1878,"Public","TV Broadcast & Cable Networks","Media","large-bus",80,135,107.5,52,1,0,0,0,0
122,"D-eng","No Desc","Satisfied","Upside Business Travel",0,"DC","DC",1,"small",2015,"Private","Internet","Information Technology","small-bus",85,159,122,30,1,0,1,1,0
123,"D-eng","No Desc","Satisfied","Equity Residential",3,"IL","IL",1,"large",1993,"Public","Real Estate","Real Estate","large-bus",80,105,92.5,27,1,0,1,0,1
124,"analyst","No Desc","Dissatisfied","Synagro",0,"MD","MD",1,"medium",1986,"Private","Research & Development","Business Services","large-bus",43,81,62,34,0,0,0,0,1
125,"na","No Desc","Satisfied","Alliance Source Testing",0,"AL","AL",0,"small",2000,"Other Organization","Architectural & Engineering Services","Business Services","medium-bus",29,50,39.5,20,0,0,0,0,0
126,"D-sci","No Desc","Satisfied","Accuride International",0,"CA","CA",0,"large",1966,"Private","Industrial Manufacturing","Manufacturing","large-bus",82,133,107.5,54,0,0,0,0,1
127,"manager","No Desc","Satisfied","Full Potential Solutions",0,"MO","MO",1,"medium",2017,"Private","Staffing & Outsourcing","Business Services","medium-bus",26,55,40.5,30,1,0,0,1,1
128,"D-sci","Senior Prof","Satisfied","Visa Inc.",3,"VA","CA",0,"large",1958,"Public","IT Services","Information Technology","large-bus",61,118,89.5,62,1,0,1,0,0
129,"D-sci","No Desc","Satisfied","Maven Wave Partners",0,"IL","IL",1,"medium",2008,"Private","Consulting","Business Services","medium-bus",60,102,81,30,1,0,0,1,1
130,"D-sci","Senior Prof","Satisfied","Novetta",3,"VA","VA",0,"medium",2012,"Private","Enterprise Software & Network Solutions","Information Technology","large-bus",112,182,147,30,1,0,0,1,0
131,"D-sci","No Desc","Neutral","First Command Financial Services, Inc.",3,"TX","TX",1,"large",1958,"Private","Brokerage Services","Finance","large-bus",64,106,85,62,1,0,0,0,1
132,"na","No Desc","Neutral","Pharmavite",2,"CA","CA",0,"large",1971,"Private","Consumer Products Manufacturing","Manufacturing","large-bus",51,112,81.5,49,0,0,0,0,1
133,"na","No Desc","Satisfied","BioMarin Pharmaceutical",3,"CA","CA",0,"large",1997,"Public","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","large-bus",113,223,168,23,0,0,0,0,1
134,"ML","No Desc","Satisfied","Stratagem Group",0,"CO","CO",1,"small",2007,"Private","Aerospace & Defense","Aerospace & Defense","medium-bus",72,129,100.5,30,1,0,1,1,1
135,"D-sci","No Desc","Neutral","PA Consulting",3,"NY","United Kingdom",0,"large",1943,"Private","Consulting","Business Services","large-bus",71,123,97,52,1,0,1,0,1
136,"D-sci","No Desc","Satisfied","ManTech",0,"VA","VA",0,"large",1968,"Public","Research & Development","Business Services","large-bus",64,106,85,52,0,0,0,0,0
137,"D-sci","No Desc","Satisfied","h2o.ai",0,"CA","CA",1,"medium",2011,"Private","Enterprise Software & Network Solutions","Information Technology","medium-bus",118,189,153.5,30,1,0,1,1,1
138,"D-eng","No Desc","Very Satisfied","Gridiron IT",0,"FL","VA",0,"small",2017,"Private","IT Services","Information Technology","micro-bus",120,145,132.5,30,0,0,0,0,0
139,"D-eng","No Desc","Satisfied","Productive Edge",3,"IL","IL",1,"small",2008,"Private","Computer Hardware & Software","Information Technology","medium-bus",80,120,100,30,0,0,1,0,1
140,"D-sci","Senior Prof","Satisfied","Evolve Vacation Rental",0,"CO","CO",1,"medium",2011,"Private","Travel Agencies","Travel & Tourism","large-bus",80,130,105,30,1,0,0,0,0
141,"D-eng","No Desc","Satisfied","The Church of Jesus Christ of Latter-day Saints",0,"UT","UT",0,"large",1992,"Nonprofit Organization","Religious Organizations","Non-Profit","small-bus",59,115,87,30,0,0,0,1,1
142,"analyst","No Desc","Satisfied","Maximus Real Estate Partners",3,"CA","CA",1,"small",2013,"Private","Real Estate","Real Estate","medium-bus",71,136,103.5,30,0,0,0,0,1
143,"R&D","Senior Prof","Neutral","Software Engineering Institute",0,"PA","PA",1,"medium",1984,"College / University","Colleges & Universities","Education","medium-bus",81,167,124,36,1,0,0,0,1
144,"D-sci","No Desc","Satisfied","PNNL",3,"WA","WA",1,"large",1965,"Government","Energy","Oil, Gas, Energy & Utilities","large-bus",49,85,67,55,1,0,0,0,0
145,"D-eng","No Desc","Satisfied","AVANADE",3,"DC","WA",0,"large",2000,"Private","IT Services","Information Technology","large-bus",60,114,87,20,0,0,0,0,0
146,"D-sci","No Desc","Satisfied","h2o.ai",0,"IL","CA",0,"medium",2011,"Private","Enterprise Software & Network Solutions","Information Technology","medium-bus",71,204,137.5,30,1,0,1,1,1
147,"D-sci","Senior Prof","Satisfied","PatientPoint",3,"OH","OH",1,"medium",1987,"Private","Advertising & Marketing","Business Services","large-bus",75,125,100,33,1,0,0,0,1
148,"D-eng","No Desc","Satisfied","BlueCross BlueShield of Tennessee",0,"TN","TN",1,"large",1945,"Nonprofit Organization","Insurance Carriers","Insurance","large-bus",77,136,106.5,52,0,0,0,0,1
149,"D-sci","Senior Prof","Satisfied","PNNL",3,"WA","WA",1,"large",1965,"Government","Energy","Oil, Gas, Energy & Utilities","large-bus",74,123,98.5,55,0,0,0,0,0
150,"analyst","Senior Prof","Very Satisfied","KnowBe4",0,"FL","FL",1,"medium",2010,"Private","Security Services","Business Services","large-bus",44,78,61,30,1,0,0,0,1
151,"na","Senior Prof","Satisfied","KSM Consulting",0,"IN","IN",1,"small",2008,"Private","Consulting","Business Services","small-bus",65,148,106.5,30,1,0,1,1,0
152,"D-eng","No Desc","Satisfied","Cogo Labs",0,"MA","MA",1,"small",2005,"Private","Internet","Information Technology","medium-bus",59,110,84.5,30,1,0,1,0,0
